IDX,LABEL,SHORT Q,LONG Q_ENG,LONG Q_FRA,LONG Q_ITA,UNITS,SCALE,MINVAL,MAXVAL,REALIZATION,QUEST_TYPE,IDXMIN,IDXMAX,SUM50,PARENT,IMAGE
1,1,Elevation of Cotopaxi,What is the elevation (in m a.s.l.) of the Cotopaxi volcano? (Data source: GVP database [2018]),Quelle est l'altitude (en m a.s.l.) du volcan Cotopaxi ? (Source: GVP database [2018]),Qual è l’altitudine (in m s.l.m.) del vulcano Cotopaxi? (Fonte: GVP database [2018]),m,uni,0,inf,5911,seed,0,0,0,-1,
2,2,People living close to Guagua Pichincha,"According to the GVP database [2018], how many people live within a radius of 30 km from the crater of the Guagua Pichincha volcano?","Selon le GVP database [2018], combien de personnes vivent dans un rayon de 30 km du cratère du volcan Guagua Pichincha ?","Secondo il GVP database [2018], quante persone vivono entro un raggio di 30 km dal cratere del vulcano Guagua Pichincha?",n°,uni,0,inf,2064780,seed,0,0,0,-1,
3,3,Percentage of VEI4+ eruptions at Cotopaxi,"Given your knowledge of the frequency of activity over the past ~4 ka at Cotopaxi volcano and based on the total number of eruptions (76) for which a VEI index has been estimated, what percentage were VEI 4 or higher eruptions?  (Data source: GVP database [2018])","Selon votre connaissance de la fréquence d'activité au cours des ~4 derniers ka au volcan Cotopaxi et sur la base du nombre total d'éruptions (76) pour lesquelles un VEI a été estimé, quel est le pourcentage d'éruptions VEI 4 ou plus ? (Source: GVP database [2018])","Secondo la vostra conoscenza della frequenza dell’attività negli ultimi ~4 ka al vulcano Cotopaxi e basandovi sul numero totale di eruzioni (76) per le quali è stato stimato un VEI, qual è la percentuale di eruzioni VEI 4 o maggiori?  (Fonte: GVP database [2018])",%,uni,0,100,25,seed,0,0,0,-1,
4,4,Mean area of 10 cm isopach for Plinian eruptions at Cotopaxi,"Robin et al. [2008] derived from field data the isopach maps of the fallout deposits from the three Plinian eruptions (1660 AD, 970 AD and 70 AD) at Guagua Pichincha volcano. What is the mean surface area (in km2) enclosed by the 10 cm isopach lines of the fallout deposits? (e.g., the three surface areas of the corresponding 10 cm isopach for the three eruptions are, respectively, 2000, 300 and 10000 km2, the mean value is therefore 4100 km2)","Robin et al. [2008] ont obtenu des cartes des isopaques des dépôts de retombées de cendres des trois éruptions pliniennes (1660 après JC, 970 après JC et 70 après JC) du volcan Guagua Pichincha à partir de données de terrain. Quelle est la surface moyenne (en km2) délimitée par les isopaches de 10 cm des dépôts de retombées ? (exemple : les trois surfaces des trois isopaches 10 cm correspondantes pour les trois éruptions sont respectivement de 2000, 300 et 10000 km2, la valeur moyenne est donc de 4100 km2)","Robin et al. [2008] hanno ottenuto da dati di terreno le mappe delle isopache dei depositi di ricaduta cenere delle tre eruzioni pliniane (1660 AD, 970 AD and 70 AD) del vulcano Guagua Pichincha. Qual è la superficie media (in km2) racchiusa dalle isopache 10 cm dei depositi di fallout? (esempio: le tre aree delle tre corrispondenti isopache 10 cm per le tre eruzioni sono, rispettivamente, 2000, 300 e 10000 km2, il valore medio perciò è 4100 km2)",km2,log,0,inf,837,seed,0,0,0,-1,
5,5,Mean relative uncertainty of eruption duration for Layers 3-5 at Cotopaxi,"Biass and Bonadonna (2011) quantified the uncertainty associated with the estimation of eruption durations for past eruptions: they applied different methodologies (empirical and analytical) for calculating total mass and MFR, and they quantified the propagation of uncertainty up to the final estimation of eruption duration (total mass/MFR). In this way, they calculated such parameters for the Plinian eruptions of Layer 3 and Layer 5 of Cotopaxi volcano. What is the mean relative uncertainty (in %) with respect to the calculations of eruption duration for Layers 3 and 5 made by Biass and Bonadonna (2011)? (example: two estimations have values of 500±5 minutes and 350±150 minutes; the two relative uncertainties are [5/500]*100=1% and [150/350]*100=42.8% and the mean is 21.9%)","Biass and Bonadonna (2011) ont quantifié l'incertitude associée à l'estimation des durées des éruptions passées : ils ont appliqué différentes méthodologies (empiriques et analytiques) pour calculer la masse totale et le MFR, et ils ont quantifié la propagation de l'incertitude jusqu'à l'estimation de la durée de l’éruption (masse totale/MFR). De cette façon, ils ont calculé ces paramètres pour les éruptions pliniennes Layer 3 et Layer 5 du volcan Cotopaxi. Quelle est l'incertitude relative moyenne (en %) par rapport au calcul de la durée d'éruption pour Layers 3 et 5 selon Biass and Bonadonna (2011)? (exemple : deux estimations ont des valeurs de 500±5 minutes et 350±150 minutes ; les deux incertitudes relatives sont donc [5/500]*100=1% et [150/350]*100=42,8% et la moyenne est de 21,9 %)","Biass and Bonadonna (2011) hanno quantificato l’incertezza associata con la stima delle durate delle eruzioni passate: hanno applicato metodologie differenti (empiriche ed analitiche) per calcolare la massa totale e il MFR, e hanno quantificato la propagazione dell’incertezza fino alla stima della durata dell’eruzione (massa totale/MFR). In questo modo, hanno calcolato questi parametri per le eruzioni Pliniane Layer 3 e Layer 5 del vulcano Cotopaxi. Qual è l’incertezza relativa media (in %) rispetto al calcolo della durata dell’eruzione per Layers 3 e 5 secondo Biass and Bonadonna (2011)? (esempio: due stime hanno valori di 500±5 minuti e 350±150 minuti; le due incertezze relative sono quindi [5/500]*100=1% e [150/350]*100=42.8% e la media è 21.9%)",%,uni,0,inf,27.51,seed,0,0,0,-1,
6,6,Total SO2 production from Tungurahua at 14/07/2006,Carn et al. [2008] measured the daily emission of SO2 from active volcanoes in Ecuador between September 2004 and September 2006 from the Ozone Monitoring Instrument (OMI) on NASA's EOS/Aura satellite. How much was the total SO2 production (in ktons) of the 14/07/2006 eruptive event of Tungurahua (duration 1 day)?,Carn et al. [2008] ont mesuré les émissions quotidiennes de SO2 des volcans actifs en Équateur entre septembre 2004 et septembre 2006 par l'Ozone Monitoring Instrument (OMI) sur le satellite NASA EOS/Aura. A combien s'élevait la production totale de SO2 (en ktons) de l'événement éruptif du 14/07/2006 du volcan Tungurahua (durée 1 jour)?,Carn et al. [2008] hanno misurato l’emissione giornaliera di SO2 dai vulcani attivi dell’Ecuador tra settembre 2004 e settembre 2006 dall’Ozone Monitoring Instrument (OMI) sul satellite NASA EOS/Aura. Quanto è stata la produzione totale di SO2 (in ktons) dell’evento eruttivo del 14/07/2006 del vulcano Tungurahua (durata 1 giorno)?,ktons,log,0,inf,12,seed,0,0,0,-1,
7,7,Mean elongation direction of fallout deposits for Plinian eruption at Cotopaxi,"What is the mean direction (in degrees from N) of the axis of main elongation of the isopachs (i.e. the downwind range) of the F2, F4, Layer 3 and Layer 5 plinian fall deposits at Cotopaxi volcano, described in Hall and Mothes [2008] and Barberi et al. [1995]?","Quelle est la direction moyenne (degrés à partir de N) de l'axe d'allongement maximal de l'isopaque (c'est-à-dire la direction sous vent) des dépôts de retombées de cendres des éruptions pliniennes F2, F4, Layer 3 et Layer 5 du volcan Cotopaxi, décrites par Hall et Mothes [2008] et Barberi et al. [1995]?","Qual è la direzione media (in gradi da N) dell’asse di elongazione massima delle isopache (cioè la direzione sottovento) dei depositi di ricaduta cenere pliniani F2, F4, Layer 3 e Layer 5 del vulcano Cotopaxi, descritti da Hall and Mothes [2008] e Barberi et al. [1995]?",°,uni,0,540,268,seed,0,0,0,-1,
8,8,Volumetric percentage of andesites at Cotopaxi (last 0.5 Ma),"With respect to the calculations of Hall and Mothes [2008], what is the percentage (volumetrically) of volcanic products of andesitic composition with respect to the total amount of material erupted over the past 0.5 Ma at Cotopaxi volcano?","D’après les calculs de Hall and Mothes [2008], quel est le pourcentage (volumétrique) de produits volcaniques de composition andésitique par rapport à la quantité totale de matériel éclaté au cours des derniers 0,5 Ma du volcan Cotopaxi?","Secondo i calcoli di Hall and Mothes [2008], qual è la percentuale (volumetrica) dei prodotti vulcanici di composizione andesitica rispetto alla quantità totale di materiale eruttata negli ultimi 0.5 Ma dal vulcano Cotopaxi?",%,uni,0,100,40,seed,0,0,0,-1,
9,9,Average amount of ash in BF2 layer of Pululagua,"Volentik et al. [2010] calculated the Total Grain Size Distribution for the climactic phase of the 2450 BP Plinian eruption of Pululagua volcano (BF2 layer) using different techniques and datasets. According to their calculations, what is the average amount (in wt%) of ash (D < 2mm) in this layer?","Volentik et al. [2010] ont calculé la Total Grain Size Distribution pour la phase climatique de l'éruption plnienne de 2450 BP du volcan Pululagua (niveau BF2) en utilisant différentes techniques et datasets. D'après leurs calculs, quelle est la teneur moyenne (en wt%) de cendres (D < 2mm) dans ce niveau?","Volentik et al. [2010] hanno calcolato la Total Grain Size Distribution per la fase climatica dell’eruzione Plniana del 2450 BP del vulcano Pululagua (livello BF2) utilizzando diverse tecniche e datasets. Secondo i loro calcoli, qual è il contenuto medio (in wt%) di cenere (D < 2mm) in questo livello?",wt%,uni,0,100,58.19,seed,0,0,0,-1,
10,10,Total volume of lava flow deposits of the 2002 eruption of Reventador,"The complex sub-Plinian to Plinian 2002 eruption of El Reventador produced different types of volcanic deposits (tephra fall, PDC and lava flows). What is the total volume (in m3) of lava flow deposits? (Sources: Johnson et al. [2006]; Ridolfi et al. [2008])","L'éruption complexe sub-Plinienne/Plinienne de 2002 du volcan El Reventador a produit différents types de dépôts volcaniques (retombées de cendres, PDC et coulées de lave). Quel est le volume total (en m3) des dépôts de coulées de lave ? (Sources : Johnson et al. [2006] ; Ridolfi et al. [2008])","La complessa eruzione sub-Pliniana/Pliniana del 2002 del vulcano El Reventador ha prodotto differenti tipologie di depositi vulcanici (ricaduta cenere, PDC e colate di lave). What is the total volume (in m3) of lava flow deposits? (Fonti: Johnson et al. [2006]; Ridolfi et al. [2008])",m3,log,0,inf,36000000,seed,0,0,0,-1,
11,11,Mean difference between min-max estimation of Terminal Fall Velocity,"Terminal Fall Velocity (TFV) is a parameter that strongly controls particle sedimentation, and various models for calculating this parameter have been proposed. Alfano et al. [2011] compared alternative existing models and different morphological characterizations of particles for the calculation of TFV of tephra particles from various eruptions. According to their results, what is the mean difference (in %) between the maximum and the minimum estimates of TFV for the grain size φ = -1 (2 mm) for tephra particles of Fontana Lapilli deposit from the basaltic Plinian eruption of Masaya volcano (Nicaragua)?","La Terminal Fall Velocity (TFV) est un paramètre qui contrôle fortement la sédimentation des particules, et plusieurs modèles pour calculer ce paramètre ont été proposés. Alfano et al. [2011] ont comparé différents modèles et caractéristiques morphologiques des particules pour calculer la TFV du téphra à partir des différents modèles. Selon leurs résultats, quelle est la différence moyenne (en %) entre les estimations maximales et minimales de TFV pour les tailles de particules φ = -1 (2 mm) pour les particules du dépôt Fontana Lapilli de l'éruption plinienne du volcan Masaya (Nicaragua) ?","La Terminal Fall Velocity (TFV) è un parametro che controlla fortemente la sedimentazione delle particelle, e diversi modelli per calcolare questo parametro sono stati proposti. Alfano et al. [2011] hanno confrontato differenti modelli e caratteristiche morfologiche delle particelle per calcolare la TFV di tephra da dai vari modelli. Secondo i loro risultati, qual è la differenza media (in %) tra la stima massima e minima della TFV per le granulometrie φ = -1 (2 mm) per le particelle del deposito Fontana Lapilli dell’eruzione Plinian del vulcano Masaya (Nicaragua)?",%,uni,0,inf,48,seed,0,0,0,-1,
12,12,Mean wt% of Na2O+K2O of Guagua Pichincha products (last 55 ka years),"What is the mean content (in weight %) of Na2O+K2O of the volcanic products of the Guagua Pichincha volcano from the last 55 ka years, as reported in Chiaradia et al. [2009]","Quelle est la teneur moyenne (en wt%) de Na2O+K2O des produits volcaniques du volcan Guagua Pichincha au cours des 55 derniers ka, comme indiqué dans Chiaradia et al. [2009]?","Qual è il contenuto medio (in wt%) di Na2O+K2O dei prodotti vulcanici del vulcano Guagua Pichincha negli ultimi 55 ka, come riportato in Chiaradia et al. [2009]?",wt%,uni,0,100,5.69,seed,0,0,0,-1,
13,13,Mean difference between min-max estimation of plume heights for the August 2006 eruption at Tungurahua,"For the calculation of volcanic plume heights without using field deposit data, several techniques are presently available. Among them, Steffke et al. [2010] used the velocity determination and plume top temperature (PTT) models to calculate the plume heights (above vent level) of the most recent eruptions at Tungurahua volcano. What is the mean difference (in m) between the minimum and the maximum estimation of plume heights (above vent level) for the whole August 2006 eruption (25 measurements every 30 min; period 16/08/2006 20:15 – 17/08/2006 11:15)?","Pour calculer les hauteurs des panaches volcaniques sans utiliser les données des dépôts de sol, plusieurs techniques sont actuellement disponibles. Parmi ceux-ci, Steffke et al. [2010] ont utilisé les modèles « velocity determination » et « plume top temperature (PTT) » pour calculer les hauteurs du panache (par rapport à l'évent) des éruptions les plus récentes du volcan Tungurahua. Quelle est la différence moyenne (en m) entre les estimations minimale et maximale des hauteurs du panache (par rapport à l'évent) pour l'ensemble de l'éruption d'août 2006 (25 mesures toutes les 30 min ; période 16/08/2006 20 : 15 – 17/08/2006 11:15)?","Per il calcolo delle altezze del plume vulcanico senza utilizzare dati dai depositi di terreno, diverse tecniche sono attualmente disponibili. Tra queste, Steffke et al. [2010] hanno utilizzato i modelli “velocity determination” e “plume top temperature (PTT)” per calcolare le altezze del plume (rispetto al vent) delle più recenti eruzioni del vulcano Tungurahua. Qual è la differenza media (in m) tra le stime minima e massima delle altezze del plume (rispetto al vent) per l’intera eruzione di agosto 2006 (25 misure ogni 30 min; periodo 16/08/2006 20:15 – 17/08/2006 11:15)?",m,uni,0,inf,2980,seed,0,0,0,-1,
